Title,Abstract,Solution,Tech takeaway,Project idea,Link
Anomaly Generation using Generative Adversarial Networks in Host Based Intrusion Detection,"Generative adversarial networks have been able to generate striking results in various domains. This generation capability can be general while the networks gain deep understanding regarding the data distribution. In many domains, this data distribution consists of anomalies and normal data, with the anomalies commonly occurring relatively less, creating datasets that are imbalanced. The capabilities that generative adversarial networks offer can be leveraged to examine these anomalies and help alleviate the challenge that imbalanced datasets propose via creating synthetic anomalies. This anomaly generation can be specifically beneficial in domains that have costly data creation processes as well as inherently imbalanced datasets. One of the domains that fits this description is the host-based intrusion detection domain. In this work, ADFA-LD dataset is chosen as the dataset of interest containing system calls of small foot-print next generation attacks. The data is first converted into images, and then a Cycle-GAN is used to create images of anomalous data from images of normal data. The generated data is combined with the original dataset and is used to train a model to detect anomalies. By doing so, it is shown that the classification results are improved, with the AUC rising from 0.55 to 0.71, and the anomaly detection rate rising from 17.07% to 80.49%. The results are also compared to SMOTE, showing the potential presented by generative adversarial networks in anomaly generation.","This paper solves the problem of imbalanced datasets in host-based intrusion detection by generating synthetic anomalies using a Cycle-GAN, which improves the detection results. The solution uses a generative adversarial network to create images of anomalous data from normal data, and then trains a model on the combined dataset to detect anomalies.","The paper uses a Cycle-GAN architecture, which is a type of Generative Adversarial Network that learns to translate images from one domain to another.","Project Idea: Implement a basic Cycle-GAN in PyTorch to generate images of anomalous system calls from normal system calls, using the ADFA-LD dataset as a starting point. This project can serve as a stepping stone for exploring anomaly detection and generation techniques in host-based intrusion detection.",http://arxiv.org/abs/1812.04697v1
Anomaly Generation using Generative Adversarial Networks in Host Based Intrusion Detection,"Generative adversarial networks have been able to generate striking results in various domains. This generation capability can be general while the networks gain deep understanding regarding the data distribution. In many domains, this data distribution consists of anomalies and normal data, with the anomalies commonly occurring relatively less, creating datasets that are imbalanced. The capabilities that generative adversarial networks offer can be leveraged to examine these anomalies and help alleviate the challenge that imbalanced datasets propose via creating synthetic anomalies. This anomaly generation can be specifically beneficial in domains that have costly data creation processes as well as inherently imbalanced datasets. One of the domains that fits this description is the host-based intrusion detection domain. In this work, ADFA-LD dataset is chosen as the dataset of interest containing system calls of small foot-print next generation attacks. The data is first converted into images, and then a Cycle-GAN is used to create images of anomalous data from images of normal data. The generated data is combined with the original dataset and is used to train a model to detect anomalies. By doing so, it is shown that the classification results are improved, with the AUC rising from 0.55 to 0.71, and the anomaly detection rate rising from 17.07% to 80.49%. The results are also compared to SMOTE, showing the potential presented by generative adversarial networks in anomaly generation.","This paper solves the problem of imbalanced datasets in host-based intrusion detection by generating synthetic anomalies using a Cycle-GAN, which improves the detection results. The solution uses a generative adversarial network to create images of anomalous data from normal data, and then trains a model on the combined dataset to detect anomalies.","The paper uses a Cycle-GAN architecture, which is a type of Generative Adversarial Network that learns to translate images from one domain to another.","Project Idea: Implement a basic Cycle-GAN in PyTorch to generate images of anomalous system calls from normal system calls, using the ADFA-LD dataset as a starting point. This project can serve as a stepping stone for exploring anomaly detection and generation techniques in host-based intrusion detection.",http://arxiv.org/abs/1812.04697v1
Synthesis and Inpainting-Based MR-CT Registration for Image-Guided Thermal Ablation of Liver Tumors,"Thermal ablation is a minimally invasive procedure for treat-ing small or unresectable tumors. Although CT is widely used for guiding ablation procedures, the contrast of tumors against surrounding normal tissues in CT images is often poor, aggravating the difficulty in accurate thermal ablation. In this paper, we propose a fast MR-CT image registration method to overlay a pre-procedural MR (pMR) image onto an intra-procedural CT (iCT) image for guiding the thermal ablation of liver tumors. By first using a Cycle-GAN model with mutual information constraint to generate synthesized CT (sCT) image from the cor-responding pMR, pre-procedural MR-CT image registration is carried out through traditional mono-modality CT-CT image registration. At the intra-procedural stage, a partial-convolution-based network is first used to inpaint the probe and its artifacts in the iCT image. Then, an unsupervised registration network is used to efficiently align the pre-procedural CT (pCT) with the inpainted iCT (inpCT) image. The final transformation from pMR to iCT is obtained by combining the two estimated transformations,i.e., (1) from the pMR image space to the pCT image space (through sCT) and (2) from the pCT image space to the iCT image space (through inpCT). Experimental results confirm that the proposed method achieves high registration accuracy with a very fast computational speed.",This paper solves the problem of poor contrast in CT images making it difficult to accurately perform thermal ablation of liver tumors by proposing a fast MR-CT image registration method. The solution involves generating a synthesized CT image from a pre-procedural MR image and then registering this synthesized image with the intra-procedural CT image.,The paper uses a Cycle-GAN model with mutual information constraint to generate synthesized CT images from corresponding pre-procedural MR images.,Create a simple PyTorch project that generates synthesized images using a Cycle-GAN model and then applies a traditional mono-modality CT-CT image registration to a pair of pre-procedural and intra-procedural CT images.,http://arxiv.org/abs/1907.13020v1
DGL-GAN: Discriminator Guided Learning for GAN Compression,"Generative Adversarial Networks (GANs) with high computation costs, e.g., BigGAN and StyleGAN2, have achieved remarkable results in synthesizing high-resolution images from random noise. Reducing the computation cost of GANs while keeping generating photo-realistic images is a challenging field. In this work, we propose a novel yet simple {\bf D}iscriminator {\bf G}uided {\bf L}earning approach for compressing vanilla {\bf GAN}, dubbed {\bf DGL-GAN}. Motivated by the phenomenon that the teacher discriminator may contain some meaningful information about both real images and fake images, we merely transfer the knowledge from the teacher discriminator via the adversarial interaction between the teacher discriminator and the student generator. We apply DGL-GAN to compress the two most representative large-scale vanilla GANs, i.e., StyleGAN2 and BigGAN. Experiments show that DGL-GAN achieves state-of-the-art (SOTA) results on both StyleGAN2 and BigGAN. Moreover, DGL-GAN is also effective in boosting the performance of original uncompressed GANs. Original uncompressed StyleGAN2 boosted with DGL-GAN achieves FID 2.65 on FFHQ, which achieves a new state-of-the-art performance. Code and models are available at \url{https://github.com/yuesongtian/DGL-GAN}","This paper solves the problem of reducing the computation cost of Generative Adversarial Networks (GANs) while maintaining photo-realistic image generation. It proposes a novel approach called DGL-GAN, which transfers knowledge from a teacher discriminator to a student generator through adversarial interaction.","The DGL-GAN approach uses the discriminator-guided learning mechanism, where the teacher discriminator's knowledge is transferred to the student generator via adversarial interaction.","Implement a simple DGL-GAN model in PyTorch to compress a pre-trained vanilla GAN model, such as StyleGAN2 or BigGAN, and evaluate its performance on a dataset like FFHQ.",http://arxiv.org/abs/2112.06502v2
Evaluating the distribution learning capabilities of GANs,"We evaluate the distribution learning capabilities of generative adversarial networks by testing them on synthetic datasets. The datasets include common distributions of points in $R^n$ space and images containing polygons of various shapes and sizes. We find that by and large GANs fail to faithfully recreate point datasets which contain discontinous support or sharp bends with noise. Additionally, on image datasets, we find that GANs do not seem to learn to count the number of objects of the same kind in an image. We also highlight the apparent tension between generalization and learning in GANs.","This paper solves the problem of evaluating the distribution learning capabilities of GANs by testing them on various synthetic datasets, highlighting their limitations and failure to recreate certain types of data. It provides insight into the tension between generalization and learning in GANs, which can be useful for future development and improvement of GAN architectures.","One key takeaway from this paper is the difficulty of GANs to learn datasets with discontinuous support or sharp bends with noise, which can be mitigated by using more sophisticated architectures or techniques such as the use of conditional GANs or cycle-consistent GANs.",Beginner coding project idea: Train a simple GAN to generate images of polygons and test its ability to learn the number of objects in an image. This can be done by creating a dataset of images with varying numbers of polygons and evaluating the GAN's performance using metrics such as accuracy and precision.,http://arxiv.org/abs/1907.02662v1
Structural Cycle GAN for Virtual Immunohistochemistry Staining of Gland Markers in the Colon,"With the advent of digital scanners and deep learning, diagnostic operations may move from a microscope to a desktop. Hematoxylin and Eosin (H&E) staining is one of the most frequently used stains for disease analysis, diagnosis, and grading, but pathologists do need different immunohistochemical (IHC) stains to analyze specific structures or cells. Obtaining all of these stains (H&E and different IHCs) on a single specimen is a tedious and time-consuming task. Consequently, virtual staining has emerged as an essential research direction. Here, we propose a novel generative model, Structural Cycle-GAN (SC-GAN), for synthesizing IHC stains from H&E images, and vice versa. Our method expressly incorporates structural information in the form of edges (in addition to color data) and employs attention modules exclusively in the decoder of the proposed generator model. This integration enhances feature localization and preserves contextual information during the generation process. In addition, a structural loss is incorporated to ensure accurate structure alignment between the generated and input markers. To demonstrate the efficacy of the proposed model, experiments are conducted with two IHC markers emphasizing distinct structures of glands in the colon: the nucleus of epithelial cells (CDX2) and the cytoplasm (CK818). Quantitative metrics such as FID and SSIM are frequently used for the analysis of generative models, but they do not correlate explicitly with higher-quality virtual staining results. Therefore, we propose two new quantitative metrics that correlate directly with the virtual staining specificity of IHC markers.","The paper solves the problem of tedious and time-consuming tasks required to obtain multiple stains for disease analysis and diagnosis by proposing a generative model that can synthesize IHC stains from H&E images, and vice versa.",The Structural Cycle-GAN (SC-GAN) model incorporates structural information in the form of edges and employs attention modules exclusively in the decoder of the generator model.,Implement a basic image-to-image translation using a Cycle-GAN in PyTorch to translate images from one style to another. Use the popular CelebA dataset and pre-trained models to create stylized celebrity images.,http://arxiv.org/abs/2308.13182v1
Robust Mitosis Detection Using a Cascade Mask-RCNN Approach With Domain-Specific Residual Cycle-GAN Data Augmentation,"For the MIDOG mitosis detection challenge, we created a cascade algorithm consisting of a Mask-RCNN detector, followed by a classification ensemble consisting of ResNet50 and DenseNet201 to refine detected mitotic candidates. The MIDOG training data consists of 200 frames originating from four scanners, three of which are annotated for mitotic instances with centroid annotations. Our main algorithmic choices are as follows: first, to enhance the generalizability of our detector and classification networks, we use a state-of-the-art residual Cycle-GAN to transform each scanner domain to every other scanner domain. During training, we then randomly load, for each image, one of the four domains. In this way, our networks can learn from the fourth non-annotated scanner domain even if we don't have annotations for it. Second, for training the detector network, rather than using centroid-based fixed-size bounding boxes, we create mitosis-specific bounding boxes. We do this by manually annotating a small selection of mitoses, training a Mask-RCNN on this small dataset, and applying it to the rest of the data to obtain full annotations. We trained the follow-up classification ensemble using only the challenge-provided positive and hard-negative examples. On the preliminary test set, the algorithm scores an F1 score of 0.7578, putting us as the second-place team on the leaderboard.","The paper solves the problem of detecting mitoses from medical images of various scanners with limited annotations, by using a cascade algorithm and a domain-specific residual Cycle-GAN data augmentation to enhance generalizability. The solution involves a Mask-RCNN detector, a classification ensemble, and a Residual Cycle-GAN to transform each scanner domain to every other domain.","One of the key technical takeaways from this paper is the use of a Residual Cycle-GAN for domain-specific data augmentation, allowing the model to learn from different scanner domains and improve generalizability.","Project Idea: Implement a simple Mask-RCNN detector in PyTorch to detect objects from a dataset of images, and then use a Residual Cycle-GAN to transform the images into a different domain to test the model's ability to generalize to new environments.",http://arxiv.org/abs/2109.01878v2
Real-time clustering and multi-target tracking using event-based sensors,"Clustering is crucial for many computer vision applications such as robust tracking, object detection and segmentation. This work presents a real-time clustering technique that takes advantage of the unique properties of event-based vision sensors. Since event-based sensors trigger events only when the intensity changes, the data is sparse, with low redundancy. Thus, our approach redefines the well-known mean-shift clustering method using asynchronous events instead of conventional frames. The potential of our approach is demonstrated in a multi-target tracking application using Kalman filters to smooth the trajectories. We evaluated our method on an existing dataset with patterns of different shapes and speeds, and a new dataset that we collected. The sensor was attached to the Baxter robot in an eye-in-hand setup monitoring real-world objects in an action manipulation task. Clustering accuracy achieved an F-measure of 0.95, reducing the computational cost by 88% compared to the frame-based method. The average error for tracking was 2.5 pixels and the clustering achieved a consistent number of clusters along time.","This paper solves the problem of real-time clustering and multi-target tracking, particularly in scenarios where event-based sensors are used. The solution presents a real-time clustering technique that redefines the mean-shift clustering method using asynchronous events, achieving high accuracy and reducing computational cost.","The paper uses the mean-shift clustering method, which is a well-known unsupervised machine learning algorithm for density-based clustering.","Design a simple event-based sensor simulation using PyTorch, where you simulate the output of an event-based sensor and apply the mean-shift clustering method to cluster the events into different regions of interest.",http://arxiv.org/abs/1807.02851v1
"All for One, and One for All: UrbanSyn Dataset, the third Musketeer of Synthetic Driving Scenes","We introduce UrbanSyn, a photorealistic dataset acquired through semi-procedurally generated synthetic urban driving scenarios. Developed using high-quality geometry and materials, UrbanSyn provides pixel-level ground truth, including depth, semantic segmentation, and instance segmentation with object bounding boxes and occlusion degree. It complements GTAV and Synscapes datasets to form what we coin as the 'Three Musketeers'. We demonstrate the value of the Three Musketeers in unsupervised domain adaptation for image semantic segmentation. Results on real-world datasets, Cityscapes, Mapillary Vistas, and BDD100K, establish new benchmarks, largely attributed to UrbanSyn. We make UrbanSyn openly and freely accessible (www.urbansyn.org).","The paper solves the problem of limited photorealistic synthetic driving scenes datasets, which hinders the training of accurate image semantic segmentation models. It proposes UrbanSyn, a semi-procedurally generated synthetic urban driving scenes dataset, which complements existing datasets to form the 'Three Musketeers' and establishes new benchmarks in unsupervised domain adaptation.","The paper uses semi-procedurally generated synthetic urban driving scenarios, which suggests the use of a combination of procedural generation and manual editing to create photorealistic environments.","Create a simple PyTorch GAN to generate semi-realistic synthetic driving scenes using a combination of procedural generation and manual editing. For the first 30 minutes, create a basic procedural generation module that generates a simple urban environment. Then, for the next 30 minutes, create a GAN that takes the procedural generation output as input and refines it to make it more realistic. Finally, for the last 30 minutes, use the GAN to generate a few synthetic driving scenes and manually edit them to make them more photorealistic.",http://arxiv.org/abs/2312.12176v2
GANs for Medical Image Synthesis: An Empirical Study,"Generative Adversarial Networks (GANs) have become increasingly powerful, generating mind-blowing photorealistic images that mimic the content of datasets they were trained to replicate. One recurrent theme in medical imaging is whether GANs can also be effective at generating workable medical data as they are for generating realistic RGB images. In this paper, we perform a multi-GAN and multi-application study to gauge the benefits of GANs in medical imaging. We tested various GAN architectures from basic DCGAN to more sophisticated style-based GANs on three medical imaging modalities and organs namely : cardiac cine-MRI, liver CT and RGB retina images. GANs were trained on well-known and widely utilized datasets from which their FID score were computed to measure the visual acuity of their generated images. We further tested their usefulness by measuring the segmentation accuracy of a U-Net trained on these generated images.
  Results reveal that GANs are far from being equal as some are ill-suited for medical imaging applications while others are much better off. The top-performing GANs are capable of generating realistic-looking medical images by FID standards that can fool trained experts in a visual Turing test and comply to some metrics. However, segmentation results suggests that no GAN is capable of reproducing the full richness of a medical datasets.","This paper solves the problem of determining whether Generative Adversarial Networks (GANs) can be effective in generating workable medical data by testing various GAN architectures on different medical imaging modalities and organs. The solution to this problem is that GANs are capable of generating realistic-looking medical images, although they may not be able to fully reproduce the richness of a medical dataset.","The paper utilizes style-based GAN architectures, such as those based on the StyleGAN model, which are capable of generating high-quality images.",Project Idea: Implement a GAN in PyTorch to generate synthetic medical images of a specific organ (e.g. liver CT scans). Use the DCGAN architecture and a dataset of real medical images to train the GAN and evaluate its performance using metrics such as FID score and segmentation accuracy.,http://arxiv.org/abs/2105.05318v2
Tabular GANs for uneven distribution,"Generative models for tabular data have evolved rapidly beyond Generative Adversarial Networks (GANs). While GANs pioneered synthetic tabular data generation, recent advances in diffusion models and large language models (LLMs) have opened new paradigms with complementary strengths in sample quality, privacy, and controllability. In this paper, we survey the landscape of tabular data generation across three major paradigms - GANs, diffusion models, and LLMs - and introduce a unified, modular framework that supports all three. The framework encompasses data preprocessing, a model-agnostic interface layer, standardized training and inference pipelines, and a comprehensive evaluation module. We validate the framework through experiments on seven benchmark datasets, demonstrating that GAN-based augmentation can improve downstream performance under distribution shift. The framework and its reference implementation are publicly available at https://github.com/Diyago/Tabular-data-generation, facilitating reproducibility and extensibility for future research.","This paper solves the problem of uneven distribution in tabular data generation by introducing a unified framework that supports Generative Adversarial Networks (GANs), diffusion models, and large language models (LLMs). The framework improves downstream performance under distribution shift by leveraging GAN-based augmentation.","The paper introduces a model-agnostic interface layer that can support all three paradigms (GANs, diffusion models, and LLMs).","Create a simple GAN-based data augmentation pipeline in PyTorch to improve the performance of a classification model on a tabular dataset. For example, you can use the MNIST dataset and generate new data points using a GAN, then train a simple neural network to classify the original and generated data points. This project can be completed in one day and helps you understand how GANs can be used for data augmentation.",http://arxiv.org/abs/2010.00638v2